Date,Valeur Liquidative,Performances glissantes Depuis Début d'année,Performances glissantes 1 semaine,Performances glissantes 6 mois,Performances glissantes 1 an,Performances glissantes 2 ans,Performances glissantes 3 ans,Performances glissantes 5 ans,Variation %,weekly_mean,rendement_lag_1,rendement_lag_2,rendement_lag_3,rendement_lag_4,returns,garch_vol,garch_vol_lag_1,garch_vol_lag_2,vol_future_2w
2022-04-01,577.71,1.57,0.56,0.67,5.55,19.75,18.2,23.81,0.5473016926086149,12754.936,0.55,0.96,0.36,0.97,0.005600000000000001,0.005894841250203986,0.006042157029924898,0.006050028218997534,0.0007810249675906654
2022-04-08,577.77,1.56,0.01,0.95,5.44,20.02,17.42,24.28,1.089272419712639,12893.872,0.56,0.55,0.96,0.36,0.0001,0.005835041740727488,0.005894841250203986,0.006042157029924898,0.003966106403010389
2022-04-15,578.41,1.45,0.11,1.34,5.2,20.71,16.86,24.77,0.6046127959079994,12971.829999999998,0.01,0.56,0.55,0.96,0.0011,0.0060522109209780435,0.005835041740727488,0.005894841250203986,0.004301743832447488
2022-04-22,581.61,0.9,0.55,0.88,5.62,21.64,17.38,24.85,0.8666626065867433,13084.252,0.11,0.01,0.56,0.55,0.0055000000000000005,0.006057349811157272,0.0060522109209780435,0.005835041740727488,0.007580237463298891
2022-05-06,577.91,1.53,0.26,1.74,3.72,18.86,15.74,22.61,-0.15489538910804512,13105.516666666668,0.55,0.11,0.01,0.56,0.0026,0.005901074765837045,0.006057349811157272,0.0060522109209780435,0.007354250471666028
2022-05-13,571.9,2.56,1.04,2.64,2.04,17.91,13.83,21.12,-3.0096689562029377,12711.083999999999,0.26,0.55,0.11,0.01,0.0104,0.005906629982217487,0.005901074765837045,0.006057349811157272,0.004243229901855425
2022-05-20,571.83,2.57,0.01,2.75,2.09,16.46,14.25,20.86,-0.26641315563644685,12677.22,1.04,0.26,0.55,0.11,0.0001,0.006045620986568879,0.005906629982217487,0.005901074765837045,0.007299315036357863
2022-05-27,568.41,3.15,0.6,2.95,1.28,15.02,13.55,20.1,-1.9864449776843762,12425.394,0.01,1.04,0.26,0.55,0.006,0.0061343284003530455,0.006045620986568879,0.005906629982217487,0.0061057350089894985
2022-06-03,573.2,2.33,0.84,1.93,1.39,14.75,14.62,20.87,0.11495812527151372,12439.678,0.6,0.01,1.04,0.26,0.0084,0.005935308834230269,0.0061343284003530455,0.006045620986568879,0.011051018052650172
2022-06-10,572.06,2.53,0.2,2.46,0.83,14.93,13.81,20.09,1.6601072793041682,12646.189999999999,0.84,0.6,0.01,1.04,0.002,0.005925043269241653,0.005935308834230269,0.0061343284003530455,0.011004771692316019
