Unnamed: 0.1,Unnamed: 0,filename,url,download_date,date
87.0,87.0,29-03-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/01-04-2024/weekly_opcvm_29_03_2024.pdf,2025-12-19 18:44:19,2024-03-29
88.0,88.0,22-03-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/25-03-2024/weekly_opcvm_22_03_2024.pdf,2025-12-19 18:44:17,2024-03-22
89.0,89.0,15-03-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/18-03-2024/weekly_opcvm_15_03_2024.pdf,2025-12-19 18:44:29,2024-03-15
90.0,90.0,08-03-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/14-03-2024/weekly_opcvm_08_03_2024.pdf,2025-12-19 18:44:26,2024-03-08
91.0,91.0,01-03-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/05-03-2024/weekly_opcvm_01_03_2024.pdf,2025-12-19 18:44:34,2024-03-01
92.0,92.0,23-02-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/26-02-2024/weekly_opcvm_23_02_2024.pdf,2025-12-19 18:44:39,2024-02-23
93.0,93.0,16-02-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/19-02-2024/weekly_opcvm_16_02_2024.pdf,2025-12-19 18:44:33,2024-02-16
94.0,94.0,09-02-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/13-02-2024/weekly_opcvm_09_02_2024.pdf,2025-12-19 18:44:28,2024-02-09
95.0,95.0,02-02-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/13-02-2024/weekly_opcvm_02_02_2024.pdf,2025-12-19 18:44:30,2024-02-02
96.0,96.0,26-01-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/29-01-2024/weekly_opcvm_26_01_2024.pdf,2025-12-19 18:44:31,2024-01-26
97.0,97.0,19-01-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/23-01-2024/weekly_opcvm_19_01_2024.pdf,2025-12-19 18:44:37,2024-01-19
98.0,98.0,12-01-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-01-2024/weekly_opcvm_12_01_2024.pdf,2025-12-19 18:44:50,2024-01-12
99.0,99.0,05-01-2024.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/15-01-2024/weekly_opcvm_05_01_2024.pdf,2025-12-19 18:44:49,2024-01-05
100.0,100.0,29-12-2023.pdf,https://www.wafagestion.com/sites/default/files/documents-en-masse/03-01-2024/weekly_opcvm_29_12_2023.pdf,2025-12-19 18:44:45,2023-12-29
